98, 1, 1, 0, 1, 0, 0, 0
97, 1, 0, 1, 1, 0, 1, 0
96, 1, 2, 0, 1, 1, 0, 0
95, 1, 0, 1, 1, 0, 1, 2
95, 2, 2, 0, 2, 0, 0, 0
93, 2, 0, 2, 2, 0, 2, 0
92, 1, 4, 0, 1, 3, 0, 0
91, 1, 0, 1, 1, 0, 1, 6
95, 2, 2, 0, 2, 0, 0, 0
93, 2, 0, 2, 2, 0, 2, 0
91, 2, 4, 0, 2, 2, 0, 0
89, 2, 0, 2, 2, 0, 2, 4
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
84, 1, 8, 0, 1, 7, 0, 0
83, 1, 0, 1, 1, 0, 1, 14
95, 2, 2, 0, 2, 0, 0, 0
93, 2, 0, 2, 2, 0, 2, 0
91, 2, 4, 0, 2, 2, 0, 0
89, 2, 0, 2, 2, 0, 2, 4
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
83, 2, 8, 0, 2, 6, 0, 0
81, 2, 0, 2, 2, 0, 2, 12
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
81, 4, 8, 0, 4, 4, 0, 0
77, 4, 0, 4, 4, 0, 4, 8
77, 8, 8, 0, 8, 0, 0, 0
69, 8, 0, 8, 8, 0, 8, 0
68, 1, 16, 0, 1, 15, 0, 0
67, 1, 0, 1, 1, 0, 1, 30
95, 2, 2, 0, 2, 0, 0, 0
93, 2, 0, 2, 2, 0, 2, 0
91, 2, 4, 0, 2, 2, 0, 0
89, 2, 0, 2, 2, 0, 2, 4
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
83, 2, 8, 0, 2, 6, 0, 0
81, 2, 0, 2, 2, 0, 2, 12
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
81, 4, 8, 0, 4, 4, 0, 0
77, 4, 0, 4, 4, 0, 4, 8
77, 8, 8, 0, 8, 0, 0, 0
69, 8, 0, 8, 8, 0, 8, 0
67, 2, 16, 0, 2, 14, 0, 0
65, 2, 0, 2, 2, 0, 2, 28
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
81, 4, 8, 0, 4, 4, 0, 0
77, 4, 0, 4, 4, 0, 4, 8
77, 8, 8, 0, 8, 0, 0, 0
69, 8, 0, 8, 8, 0, 8, 0
65, 4, 16, 0, 4, 12, 0, 0
61, 4, 0, 4, 4, 0, 4, 24
77, 8, 8, 0, 8, 0, 0, 0
69, 8, 0, 8, 8, 0, 8, 0
61, 8, 16, 0, 8, 8, 0, 0
53, 8, 0, 8, 8, 0, 8, 16
53, 16, 16, 0, 16, 0, 0, 0
37, 16, 0, 16, 16, 0, 16, 0
36, 1, 32, 0, 1, 31, 0, 0
35, 1, 0, 1, 1, 0, 1, 62
95, 2, 2, 0, 2, 0, 0, 0
93, 2, 0, 2, 2, 0, 2, 0
91, 2, 4, 0, 2, 2, 0, 0
89, 2, 0, 2, 2, 0, 2, 4
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
83, 2, 8, 0, 2, 6, 0, 0
81, 2, 0, 2, 2, 0, 2, 12
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
81, 4, 8, 0, 4, 4, 0, 0
77, 4, 0, 4, 4, 0, 4, 8
77, 8, 8, 0, 8, 0, 0, 0
69, 8, 0, 8, 8, 0, 8, 0
67, 2, 16, 0, 2, 14, 0, 0
65, 2, 0, 2, 2, 0, 2, 28
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
81, 4, 8, 0, 4, 4, 0, 0
77, 4, 0, 4, 4, 0, 4, 8
77, 8, 8, 0, 8, 0, 0, 0
69, 8, 0, 8, 8, 0, 8, 0
65, 4, 16, 0, 4, 12, 0, 0
61, 4, 0, 4, 4, 0, 4, 24
77, 8, 8, 0, 8, 0, 0, 0
69, 8, 0, 8, 8, 0, 8, 0
61, 8, 16, 0, 8, 8, 0, 0
53, 8, 0, 8, 8, 0, 8, 16
53, 16, 16, 0, 16, 0, 0, 0
37, 16, 0, 16, 16, 0, 16, 0
35, 2, 32, 0, 2, 30, 0, 0
33, 2, 0, 2, 2, 0, 2, 60
89, 4, 4, 0, 4, 0, 0, 0
85, 4, 0, 4, 4, 0, 4, 0
81, 4, 8, 0, 4, 4, 0, 0
78, 3, 0, 4, 3, 1, 4, 8
79, 7, 6, 1, 7, 0, 1, 0
